brewery_id,address,city,state,zip,country,"SUBSTR(coordinates, 1, INSTR(coordinates,',')-1)","SUBSTR(coordinates, INSTR(coordinates,' ')+1)"
263,"Donkerstraat 12",Westvleteren,West-Vlaanderen,,Belgium,50.8961,2.7222
265,"Vaartstraat 94",Leuven,"Vlaams Brabant",,Belgium,50.8853,4.7008
266,"Rijksweg 33",Bavikhove,West-Vlaanderen,,Belgium,50.8628,3.2992
268,"Fonteinstraat 65",Lembeek,"Vlaams Brabant",,Belgium,50.7123,4.2197
269,"Kerkstraat 92",Buggenhout,Oost-Vlaanderen,,Belgium,51.0138,4.2018
272,"Roeselarestraat 12b",Esen,West-Vlaanderen,,Belgium,51.0281,2.9038
274,"Lierput 1",Kobbegem,"Vlaams Brabant",,Belgium,50.9098,4.2505
280,,Achel,,,Belgium,51.2515,5.546
281,,Breendonk,,,Belgium,51.0442,4.3257
281,,Breendonk,,,Belgium,51.2206,4.3997
283,"Lindenbergstraat 10",Sint-Ulriks-Kapelle,"Vlaams Brabant",,Belgium,,
284,"Guido Gezellelaan 49",Mechelen,Antwerpen,,Belgium,51.0325,4.473
285,"Brusselse Steenweg 282",Melle,Oost-Vlaanderen,,Belgium,,
287,"200 Aalststraat",Oudenaarde,Oost-Vlaanderen,,Belgium,50.8439,3.617
289,,,,,Aruba,,
296,"Trappistenweg 23",Watou,West-Vlaanderen,,Belgium,50.8425,2.6362
299,"Tramstraat 8",Ursel,Oost-Vlaanderen,,Belgium,51.1287,3.4785
301,"Douvieweg 2",Watou,West-Vlaanderen,,Belgium,50.8612,2.6615
302,"Stoopkensstraat 46",Hoegaarden,"Vlaams Brabant",,Belgium,50.7778,4.8877
303,"Oostrozebekestraat 43",Ingelmunster,West-Vlaanderen,,Belgium,50.9201,3.2579
304,"Lindenlaan 25",Ertvelde,Oost-Vlaanderen,,Belgium,51.1766,3.7462
306,"ul. Bolesawa Chrobrego 26",NamysÅ‚Ã³w,,,Poland,,
307,"ul. Browarna 14",Brzesko,,,Poland,49.9622,20.6003
308,"ul. GoÅ›niewska 65",Warka,,,Poland,,
309,"ul. Browarna 88",Zywiec,,,Poland,49.6622,19.1742
312,"Hollselund Strandvej 74",Tisvildeleje,,,Denmark,56.0746,12.1161
314,"102 North Market Street","Mount Joy",Pennsylvania,,"United States",40.1119,-76.5031
319,"231 W. Fourth Street",Williamsport,Pennsylvania,,"United States",41.2404,-77.0057
320,,Hereford,,,"United Kingdom",52.056,-2.7175
321,"Am Brunnen 2",Wolnzach,Bayern,,Germany,,
322,"Bridge Street",Burton-upon-Trent,Staffordshire,,"United Kingdom",52.8065,-1.6225
325,"98 Horseneck Rd",Westport,Massachusetts,,"United States",41.5713,-71.0571
328,"540 Clover Lane",Ashland,Oregon,,"United States",42.1844,-122.663
333,"1 Kendall Square #100",Cambridge,Massachusetts,,"United States",42.3664,-71.0911
334,"1165 Invicta Drive",Oakville,Ontario,,Canada,43.4745,-79.6775
339,"1100 New York Ave, NW",Washington,"District of Columbia",,"United States",38.8999,-77.0272
339,"1100 New York Ave, NW",Washington,"District of Columbia",,"United States",43.8042,-91.2526
341,"99 Castleton Street",Pleasantville,"New York",,"United States",41.126,-73.7896
343,"The Goods Store, Station Road",Carlow,,,Ireland,52.7196,-6.846
344,"Vesterflledvej 100",Kbenhavn,,,Denmark,55.6667,12.5393
345,rstadvgen,Falkenberg,,,Sweden,56.9002,12.5405
347,"215 East State Street",Rockford,Illinois,,"United States",42.2689,-89.0907
349,"110 Barley Park Lane",Mooresville,"North Carolina",,"United States",35.6231,-80.8011
353,,,,,"United States",,
357,"13450 - 102 Avenue",Surrey,"British Columbia",,Canada,49.1873,-122.85
358,"351 Allen Street",Amherst,Wisconsin,,"United States",44.4419,-89.2797
360,"Av.Alfonso Reyes Norte No.2202",Monterrey,"Nuevo Leon",,Mexico,25.7091,-100.314
363,Mendoza,Mendoza,,,Argentina,-32.8902,-68.844
364,"Va Ricardo J. Alfaro y Transistmica","El Dorado",,,Panama,37.4316,-78.6569
366,,"San Salvador",,,"El Salvador",,
367,"Unit 1-B, Blk. A, Edf. Ind. Fei Tong",Macao,,,Macao,19.7219,-101.225
368,"Avenida Tocantins, 199 / Caixa Postal 621","Ponta Grossa",Paran,,Brazil,-25.1688,-50.1298
369,"Rua Bahia, 5181",Blumenau,"Santa Catarina",,Brazil,-26.8914,-49.1223
370,"Avenida de Murcia, 1",Granada,,,Spain,37.1875,-3.6018
371,"4939 Pan American Freeway NE",Albuquerque,"New Mexico",,"United States",35.14,-106.6
374,"Chelsea Piers, Pier 59","New York","New York",,"United States",40.7457,-74.0086
376,"7803 Ralston Road",Arvada,Colorado,,"United States",39.8023,-105.084
378,"Route de Charlemagne 8",Chimay,,,Belgium,50.0355,4.3777
379,"3924 West Spruce Street Suite A",Tampa,Florida,,"United States",27.9587,-82.5093
381,"925 South Third Street","La Crosse",Wisconsin,,"United States",,
384,"112 Valley Road","Roselle Park","New Jersey",,"United States",40.6598,-74.283
385,"4615-B Hollins Ferry Road",Baltimore,Maryland,,"United States",39.2308,-76.6751
391,"209 Lakeside Avenue","Coeur d'Alene",Idaho,,"United States",47.6745,-116.784
392,"219 Red River Avenue North","Cold Spring",Minnesota,,"United States",45.4582,-94.4291
397,"461 South Road","Regency Park","South Australia",,Australia,-34.8727,138.573
398,"River Street, P.O. Box 276",Milford,"New York",,"United States",42.5893,-74.9403
399,"311 Tenth Street",Golden,Colorado,,"United States",39.7599,-105.219
402,"339 Fairground Rd",Millmont,Pennsylvania,,"United States",40.8942,-77.1971
404,"170 Orange Avenue",Coronado,California,,"United States",32.6976,-117.173
405,"307 Oliphant Lane",Middletown,"Rhode Island",,"United States",41.537,-71.2796
409,"237 West Butler Avenue",Chalfont,Pennsylvania,,"United States",40.2795,-75.2143
415,"24 Kulick Road",Fairfield,"New Jersey",,"United States",40.8726,-74.2964
420,,Mexicali,Baja,,Mexico,31.7291,-116.578
423,"38 Evergreen Drive",Portland,Maine,,"United States",43.7076,-70.3149
424,,Tournai,,,Belgium,50.6059,3.3884
425,"Camwal Road",Harrogate,"North Yorkshire",,"United Kingdom",53.9999,-1.501
426,"511 S. Kalamazoo Ave.",Marshall,Michigan,,"United States",42.2667,-84.9641
428,"pastoor de katerstraat 24",baarle-hertog,,,Belgium,51.4421,4.9232
430,"Walplein 26",Brugge,West-Vlaanderen,,Belgium,51.2026,3.2242
431,"Krommekeerstraat 21",Ruiselede,West-Vlaanderen,,Belgium,51.0811,3.3699
433,Woesten,Woesten,West-Vlaanderen,,Belgium,50.9229,2.7518
440,"1735 19th Street #100",Denver,Colorado,,"United States",39.7553,-104.997
441,"901 SW Simpson Avenue",Bend,Oregon,,"United States",44.0474,-121.323
442,"214 Spanish Town",Kingston,,,Jamaica,33.9858,-96.6515
444,"323-C Cross Street","Little Rock",Arkansas,,"United States",34.7473,-92.2839
445,"621 Front Street",Mukilteo,Washington,,"United States",47.9485,-122.305
447,"5945 Prather Road",Centralia,Washington,,"United States",46.7713,-123.007
448,"Brauerei-Diebels-Strae 1",Issum,Nordrhein-Westfalen,,Germany,51.5331,6.4213
451,"Tbinger Strae 46",Stuttgart,Baden-Wrttemberg,,Germany,,
454,"2401 Tulane Avenue","New Orleans",Louisiana,,"United States",29.9606,-90.0871
456,"701 S. 50th Street","West Philly",Pennsylvania,,"United States",39.9478,-75.2229
457,"1253 Johnston Street",Vancouver,"British Columbia",,Canada,49.2698,-123.132
459,"6 Cannery Village Center",Milton,Delaware,,"United States",38.7683,-75.3107
460,"Steigerstrae 20",Dortmund,Nordrhein-Westfalen,,Germany,51.5298,7.4692
462,"8 Fourth Street","Hood River",Oregon,,"United States",45.71,-121.515
463,"14600 East Eleven Mile Road",Warren,Michigan,,"United States",42.493,-82.9753
465,"Jszbernyi t 7-11",Budapest,,,Hungary,47.4921,19.1422
469,"4519 W. Pine Street",Farmville,"North Carolina",,"United States",35.6003,-77.5971
470,"901 S. Bond St.",Baltimore,Maryland,,"United States",39.2807,-76.5944
473,"Breendonkdorp 58",Breendonk,Antwerpen,,Belgium,,
474,"16 Church Street PO Box 684",Queenstown,,,"New Zealand",-45.0331,168.661
476,"6923 Susquehanna St.",Pittsburgh,Pennsylvania,,"United States",40.4553,-79.9043
480,"Aschaffenburger StraÃŸe 3-5",GroÃŸostheim,Bavaria,,Germany,49.9211,9.0715
481,"1777 Alamar Way",Fortuna,California,,"United States",40.5793,-124.153
483,,"De Pere",Wisconsin,,"United States",44.4489,-88.0604
484,"Papenstrae 4-7",Einbeck,Niedersachsen,,Germany,51.8162,9.8643
491,"9085 Elk Grove Boulevard","Elk Grove",California,,"United States",38.4093,-121.363
494,"4720 California Avenue SW",Seattle,Washington,,"United States",47.5604,-122.387
495,"222 West St # 46",Keene,"New Hampshire",,"United States",42.9324,-72.2867
496,"1221 East Pike Street",Seattle,Washington,,"United States",47.614,-122.316
497,"2106 North 55th Street",Seattle,Washington,,"United States",47.6688,-122.334
498,"14 Wickliffe Street",Dunedin,,,"New Zealand",-45.872,170.518
503,"D-73525 Schwbisch Gmnd","Schwbisch Gmnd",Baden-Wrttemberg,,Germany,,
504,"611 North Pine",Tacoma,Washington,,"United States",47.256,-122.473
506,"186 James Fletcher Drive, Otahuhu",Auckland,,,"New Zealand",-36.9489,174.821
507,"1213 Veshecco Drive",Erie,Pennsylvania,,"United States",42.1112,-80.113
509,"470 Prospect Village Dr.","Estes Park",Colorado,,"United States",40.3707,-105.526
511,"Kaiser-Ludwig-Platz 1",Ettal,Bayern,,Germany,47.569,11.0942
512,"811 Edward Street",Utica,"New York",,"United States",43.1045,-75.2452
520,"11197 Brockway Road",Truckee,California,,"United States",39.322,-120.163
524,"1400 Ramada Drive","Paso Robles",California,,"United States",35.5953,-120.694
526,"515 Jefferson Street SE",Olympia,Washington,,"United States",47.0437,-122.897
527,"600 East Superior Street",Duluth,Minnesota,,"United States",46.7926,-92.0909
530,"115 S. Fifth St.",Columbia,Missouri,,"United States",38.95,-92.3323
531,"2035 Benson Avenue","St. Paul",Minnesota,,"United States",44.9084,-93.1538
534,"Munketoft 12",Flensburg,Schleswig-Holstein,,Germany,54.779,9.4355
536,"1035 Sterling Avenue",Flossmoor,Illinois,,"United States",41.5433,-87.6789
537,,Rochester,"New York",,"United States",43.161,-77.6109
538,"32295 State Route 20","Oak Harbor",Washington,,"United States",48.2992,-122.652
539,"491 Ontario Street",Buffalo,"New York",,"United States",42.9561,-78.8966
540,"2401 Blake St.",Denver,Colorado,,"United States",39.7582,-104.99
541,"1940 Olney Avenue","Cherry Hill","New Jersey",,"United States",39.9121,-74.9701
543,"638 W. 4th Street",Winston-Salem,"North Carolina",,"United States",36.0973,-80.2509
546,,,,,Australia,,
549,"235 Grandville Avenue SW","Grand Rapids",Michigan,,"United States",42.9585,-85.6735
550,,"Downers Grove",Illinois,,"United States",41.8089,-88.0112
551,"1340 East Eighth Street #103",Tempe,Arizona,,"United States",33.4194,-111.916
557,"Whimsey Road",Cinderford,Gloucestershire,,"United Kingdom",51.8325,-2.5116
562,"506 Columbia Street","Hood River",Oregon,,"United States",45.7103,-121.515
563,"Chiswick Lane South",London,London,,"United Kingdom",51.4877,-0.2498
566,"15 South Orange Avenue","South Orange","New Jersey",,"United States",40.7465,-74.2594
572,,Portsmouth,Hampshire,,"United Kingdom",50.7989,-1.0912
575,"737 W. 5th Ave., Suite 110",Anchorage,Alaska,,"United States",61.2179,-149.896
579,"71 King Street North",Waterloo,Ontario,,Canada,43.4676,-80.5231
584,"980 NE Fourth Street",McMinnville,Oregon,,"United States",45.2104,-123.189
585,"1800 North Clybourn Avenue",Chicago,Illinois,,"United States",41.9137,-87.6543
586,"1800 West Fulton Street",Chicago,Illinois,,"United States",41.8871,-87.6721
587,"3804 S.W 30th Ave","Fort Lauderdale",Florida,,"United States",26.0745,-80.1806
588,"357 East Taylor Street","San Jose",California,,"United States",37.3526,-121.893
590,"2804 13th Street",Columbus,Nebraska,,"United States",41.4295,-97.3623
592,"915 Grand Avenue","Grand Lake",Colorado,,"United States",40.2518,-105.82
595,"1001 North 102nd Street",Omaha,Nebraska,,"United States",41.2672,-96.0714
597,"1125 Richter Street",Kelowna,"British Columbia",,Canada,49.8945,-119.488
598,"1441 Cartwright Street",Vancouver,"British Columbia",,Canada,34.396,-119.521
598,"1441 Cartwright Street",Vancouver,"British Columbia",,Canada,49.2705,-123.136
601,"238 North Boundary Street",Wasilla,Alaska,,"United States",61.5816,-149.439
604,"2201 Arapahoe Street",Denver,Colorado,,"United States",39.7539,-104.989
605,"2516 Market Avenue",Cleveland,Ohio,,"United States",41.4844,-81.7042
609,"1430 Vantage Court #104A",Vista,California,,"United States",33.136,-117.225
611,"153 Pond Lane",Middlebury,Vermont,,"United States",44.0344,-73.1735
612,"Westgate Street","Bury St. Edmunds",Suffolk,,"United Kingdom",52.241,0.7157
616,"Brouwerslaan 1",Enschede,Overijssel,,Netherlands,52.2081,6.8163
618,,"Mexico City",,,Mexico,19.427,-99.1276
619,"Rijksweg 16",Gulpen,,,Netherlands,50.8109,5.9213
622,"4509 SE 23rd Avenue",Portland,Oregon,,"United States",45.4901,-122.643
624,"390 Capistrano Road","Princeton by the Sea",California,,"United States",37.4903,-122.435
626,"Melmerby Green Road",Melmerby,"North Yorkshire",,"United Kingdom",54.1744,-1.4844
627,"6-8 Romsey Industrial Estate",Romsey,Hampshire,,"United Kingdom",50.9889,-1.4989
633,"1938 Pacific Avenue",Tacoma,Washington,,"United States",47.2436,-122.437
634,"306 Northern Avenue",Boston,Massachusetts,,"United States",42.3465,-71.0338
635,"336 Ruth Carney Drive",Windsor,Vermont,,"United States",43.513,-72.4015
637,"6 Cliffe High Street",Lewes,"East Sussex",,"United Kingdom",50.8742,0.0167
638,"Hillfoots Business Village",Alva,Scotland,,"United Kingdom",56.1531,-3.8006
641,,Roseburg,Oregon,,"United States",43.2165,-123.342
643,,"New York","New York",,"United States",40.7323,-73.9874
646,,Sopron,,,Hungary,,
647,,,,,Netherlands,,
650,"Dominikanerstrae 6",Bamberg,Bayern,,Germany,49.892,10.8853
652,"2201 Sherman Street",Wausau,Wisconsin,,"United States",44.9518,-89.6657
656,"445 St.Paul Street",Rochester,"New York",,"United States",43.1646,-77.6155
657,"22 Park Place",Butler,"New Jersey",,"United States",41.0016,-74.3403
658,"12 Old Charlotte Highway",Asheville,"North Carolina",,"United States",35.5716,-82.4991
659,"Grntenstrae 7",Sonthofen,Bayern,,Germany,47.5132,10.279
660,,Seoul,,,"Korea, Republic of",37.5665,126.978
662,"Haid-und-Neu-Strae 18",Karlsruhe,Baden-Wrttemberg,,Germany,49.0125,8.4264
670,"Brewery Lane","Hook Norton",Oxford,,"United Kingdom",51.9966,-1.4922
671,"Unit 21-24 Batten Road Industrial Estate",Salisbury,Wiltshire,,"United Kingdom",,
673,"1680-F East Waterloo Rd.",Akron,Ohio,,"United States",41.0247,-81.4676
674,"6300 Folsom Boulevard",Sacramento,California,,"United States",38.5551,-121.43
678,"2944 SE Powell Blvd",Portland,Oregon,,"United States",45.4969,-122.635
686,"856 10th Street",Arcata,California,,"United States",40.87,-124.087
690,"Brouwerijplein 1",Leuven,,,Belgium,50.8865,4.7069
691,"1150 Filbert Street",Philadelphia,Pennsylvania,,"United States",39.9526,-75.1594
692,"3913 Todd Lane #607",Austin,Texas,,"United States",30.2131,-97.7358
696,"Inveralmond Way",Perth,Scotland,,"United Kingdom",56.4174,-3.4779
698,"3340 Liberty Ave.",Pittsburgh,Pennsylvania,,"United States",40.461,-79.9653
700,"620 South Madison Street",Wilmington,Delaware,,"United States",39.745,-75.5561
701,"765 Center Boulevard",Fairfax,California,,"United States",37.986,-122.584
703,"The Pier","Isle of Skye",Scotland,,"United Kingdom",56.4907,-4.2026
705,"600 Elmira Road",Ithaca,"New York",,"United States",42.4145,-76.5315
707,"39176 Argonaut Way",Fremont,California,,"United States",37.5441,-121.988
708,"1 Jefferson Avenue","Chippewa Falls",Wisconsin,,"United States",44.9449,-91.3968
713,"Castle Brewery",Cockermouth,Cumbria,,"United Kingdom",54.6649,-3.3634
714,,"Jever, Germany",,,Germany,53.5757,7.9003
718,"87 Doe Run Rd",Manheim,Pennsylvania,,"United States",40.1707,-76.3838
722,"rue du cerf",Genval,,,Belgium,50.7298,4.508
723,"3115 Broad Street",Dexter,Michigan,,"United States",42.3375,-83.8895
727,"Middleton Junction",Manchester,Manchester,,"United Kingdom",53.5412,-2.1734
731,"9675 Scranton Road","San Diego",California,,"United States",32.8969,-117.201
733,"Wunderburg 5",Bamberg,Bayern,,Germany,49.8904,10.9056
739,,Helena,Montana,,"United States",46.5958,-112.027
741,,,,,Japan,,
742,"1257, Kounsosu",Ibaraki,Kanto,,Japan,,
744,"Brauhausplatz 1",Neuzelle,Brandenburg,,Germany,52.091,14.6509
745,"Heitzerstrae 2",Regensburg,Bayern,,Germany,49.0144,12.075
746,"Obere Mhlbrcke 1-3",Bamberg,Bayern,,Germany,49.8891,10.887
751,"75-5629 Kuakini Highway",Kailua-Kona,Hawaii,,"United States",19.642,-155.996
752,"Heinrich-Schtz-Strae 16","Bad KÃ¶stritz",ThÃ¼ringen,,Germany,,
755,,Morrisville,Vermont,,"United States",44.5617,-72.5984
756,"5919 Chicago Road",Warren,Michigan,,"United States",42.5278,-83.0472
757,"Lichtenfelser Strae 9",Kulmbach,Bayern,,Germany,50.106,11.4442
762,"150 Simcoe Street",London,Ontario,,Canada,42.9778,-81.2467
765,"1280 North McDowell Boulevard",Petaluma,California,,"United States",38.2724,-122.662
767,"813 Mirror Lake Drive","Lake Placid","New York",,"United States",44.2829,-73.9813
771,"302 N. Plum St.",Lancaster,Pennsylvania,,"United States",40.0438,-76.2984
772,"Durham DH7 0NT",Durham,Durham,,"United Kingdom",54.8229,-1.7457
774,,Latrobe,Pennsylvania,,"United States",40.3212,-79.3795
778,"1245 Puerta del Sol","San Clemente",California,,"United States",33.4577,-117.589
779,"1265 Boston Avenue",Longmont,Colorado,,"United States",40.1587,-105.113
780,"545 Canal Street",Reading,Pennsylvania,,"United States",40.3256,-75.9283
783,"939 Getchell Street",Helena,Montana,,"United States",46.5977,-112.037
784,"1321 Celebrity Circle","Myrtle Beach","South Carolina",,"United States",33.7187,-78.8831
787,,Stillwater,Minnesota,,"United States",45.0565,-92.8222
791,"No-254, Colombo Road",Colombo,,,"Sri Lanka",38.7548,-9.1883
792,"700 North Pennsylvania Blvd.","Wilkes Barre",Pennsylvania,,"United States",41.2557,-75.8583
793,"Level 15, 20 Hunter Street",Sydney,"New South Wales",,Australia,-33.8687,151.217
796,"40 Mews Road",Fremantle,WA,,Australia,-32.0597,115.745
797,"3301-B East Fifth Street",Austin,Texas,,"United States",30.2541,-97.7055
801,"Route 4 & 100A","Bridgewater Corners",Vermont,,"United States",43.5882,-72.6563
803,"617 Fourth Street",Eureka,California,,"United States",40.8032,-124.165
804,"Nymphenburger StraÃŸe 4",MÃ¼nchen,Bayern,,Germany,,
