id,style,name,alcohol_by_volume,brewery_id,description,TRUE
209,"Light American Wheat Ale or Lager","Sunshine Wheat",4.8000001907,905,"SUNSHINE WHEAT is a great beer for trouncing thirst.  Yet, it has a depth of character that inspires a quiet momentâ€™s reflection. Sunshine Wheat swirls in the mouth with ripples of coriander and orange peel tartness, settling nicely into a tranquil sea of apple and honey tones.  A filtered wheat beer, Sunshine offers a crisp, refreshing alternative to heavier-bodied heffe-weizens.",1
211,"South German-Style Weizenbock","Der Weisse Bock",8.5,70,,1
214,"American-Style Brown Ale","Lunar Ale",5.0999999046,161,"Our first new year-round brand launch since 1996, Lunar Ale is in a category all its own. Brewed using a unique aromatic yeast, this refreshing variety is best described as a cloudy brown ale with a complex, malty aroma and flavor, and a crisp, dry finish.",1
215,"American-Style Pale Ale","Denver Pale Ale / DPA",5.4000000954,604,"Historically Great Divideâ€™s flagship beer, DPAâ€™s record speaks for itself. By continually garnering national and international recognition, DPA has risen to become one of the most award-winning English-style pale ales in the world.


Sporting a brilliant copper hue and an assertive floral hop aroma, DPA is known for its smooth, malty middle, which is expertly complemented with hearty and complex hop flavor. DPAâ€™s extraordinary hop finish is marked by crisp yet moderate hop bitterness. Its well-balanced profile makes DPA the perfect beer to accompany a hearty mountain picnic or a night on the town. For those who seek beers characterized by excitement, flavor and distinction, Denver Pale Ale is the natural choice.",1
216,"Other Belgian-Style Ales","Grotten Flemish Ale",7.6999998093,296,,1
221,"Belgian-Style Dubbel","Pater 6",6.6999998093,296,"This name became a reference. This beer is mostly pointed out with its product name: â€œa Paterkeâ€. 


This â€œPaterkeâ€ is a chestnut coloured dark beer with a high fermentation (6.7 alcohol content) and a full taste.",1
223,"Golden or Blonde Ale","Skinny Dip",4.1999998093,905,"Ever tried a Skinny Dip? You wouldn't be alone. Featured by both Men's Journal and the Today Show as a favorite summer brew, this full-bodied, highly drinkable beer makes a splash every summer in our Seasonal line-up. Cascade hops frolic with a hint of lime leaf, giving the beer complexity that's surprisingly refreshing.",1
229,"American-Style India Pale Ale",IPA,5.5,1056,,1
231,"American-Style Lager","Double Pilsner",8.1000003815,935,,1
232,"American-Style Lager","Creamy Dark",4.9000000954,708,,1
235,"German-Style Schwarzbier","Jack of Spades Schwarzbier",3.9000000954,590,,1
236,"South German-Style Hefeweizen","Shiner Hefeweizen",5.4000000954,1179,,1
242,"American-Style Lager",New,4.5999999046,1274,,1
247,"Extra Special Bitter","Hot Shot ESB",5,604,"HotShot ESB is an easy-drinking and remarkably smooth Extra Special Bitter, brewed in the classic-English style. More assertively hopped than ordinary bitters, light copper-colored HotShot showcases clean hop flavors, balanced by its slightly fruity nose and light-caramel malt character.


While HotShot is one of Great Divideâ€™s easiest-drinking and lower alcohol beers, its complex flavor profile makes it the perfect session beer for craft beer lovers.",1
248,Porter,Porter,8,312,,1
249,"American-Style Imperial Stout","NÃ¸gne Ã˜ Imperial Stout",9,923,"We think the russian tsar would have liked his stout this way. A dark, rich ale in which a generous sweetness with roasted malt bitterness.  Serving temp.10Â°C/50Â°F. Great with vanilla ice cream or dark chocolate.",1
250,Porter,"NÃ¸gne Ã˜ Porter",7,923,"In this quite dark ale, dark malts provide flavors of coffee and dried fruit. Recommended serving temperature 10Â°C/50Â°F.  Try with dark chocolate, cheese, or red meat dishes.",1
251,"American-Style Pale Ale","NÃ¸gne Ã˜ Pale Ale",6,923,"A refreshing light and hoppy ale. Probably our best allrounder.  Recommended serving temperature 8Â°C/45Â°F.  Ideal with barbequed or smoked meat dishes.",1
260,"Traditional German-Style Bock","Illuminator Doppelbock",6.8000001907,624,,1
261,"American-Style India Pale Ale","Old Princeton Landing IPA",6.0999999046,624,,1
262,"American-Style Stout","Paddle Out Stout",5.1999998093,624,,1
263,"American-Style Pale Ale","Pillar Point Pale Ale",4.5999999046,624,,1
264,"South German-Style Hefeweizen","Sandy Beach Blonde Hefeweizen",4.5,624,,1
265,"American-Style Amber/Red Ale","Mavericks Amber Ale",4.8000001907,624,,1
268,"American-Style Stout","Oatmeal Stout",6,1126,,1
269,"American-Style Amber/Red Ale",Amber,5,1126,,1
271,"American-Style Pale Ale","Pelican Pale",5,1126,,1
273,"American-Style India Pale Ale","Casey Jones Imperial IPA",7.25,701,,1
275,"American-Style Amber/Red Ale","Epiphany Ale",5.5,701,,1
276,"American-Style India Pale Ale",IPA,6,701,,1
277,"American-Style Lager","Chazz Cat Rye",4.5,701,,1
278,"American-Style Pale Ale","Shining Star Pale Ale",5,701,,1
279,"American-Style Lager","Honey Bunny Blonde Ale",5.8000001907,701,,1
282,"American-Style Stout","Irish Dry Stout",4.8000001907,892,,1
283,"Scotch Ale","Kilt Lifter Scottish Ale",8,892,,1
284,"American-Style Pale Ale","India Pale Ale",6.5,892,,1
285,"Traditional German-Style Bock","Blonde Bock",7,588,,1
286,"German-Style Schwarzbier",Schwarzbier,4.3000001907,588,,1
288,"Belgian-Style Tripel","Yule Tide",10,385,"The latest addition to Baltimore's own Clipper City Brewing Company - Mutiny Fleet is their holiday brew Yule Tide, a Belgian style triple ale, which like the rest of the Mutiny Fleet is distributed in 22 ounce bombers.",1
290,"American-Style Lager","Warka Strong",7,308,"European Strong Lager",1
299,Porter,"Zone 7 Porter",3.7999999523,1004,,1
300,"American-Style Pale Ale","Pleasanton Pale",5.3000001907,1004,,1
302,"South German-Style Hefeweizen",Hefeweizen,5.5999999046,707,,1
304,Porter,"Penalty Shot Porter",5.8000001907,707,,1
305,"American-Style Pale Ale","India Pale Ale",7.5,707,,1
306,"American-Style Amber/Red Ale","Grid Iron Amber Ale",5.5999999046,707,,1
307,"American-Style Lager","Boys of Summer Wheat",3.5,707,,1
313,"American-Style Imperial Stout","Tatonka Stout",8.5,133,,1
314,Porter,"P.M. Porter",6.4000000954,133,,1
315,"Irish-Style Red Ale","Jeremiah Red",7.3000001907,133,,1
316,"American-Style Pale Ale","Piranha Pale Ale",5.6999998093,133,,1
317,"South German-Style Hefeweizen","Harvest Hefeweizen",4.9000000954,133,,1
319,"American-Style Brown Ale","Nutty Brewnette",5.9000000954,133,,1
333,"American-Style Amber/Red Ale","Avalanche Amber",5.4000000954,236,,1
335,"American-Style Amber/Red Ale","Levity Amber Ale",5.0999999046,935,"Levity is our lighter take on the amber ale. Munich and honey malts give it a full-bodied flavor and a happy-go-lucky personality. Then we let the finishing hops shine, for a beer that's crisp instead of bitter, as many ambers are. Levity was named by our brewers partly for its light color - and partly for the way it just refuses to take itself too seriously. Hey, we could all use a little levity once in a while.",1
336,"Light American Wheat Ale or Lager","Easy Street Wheat",4.5999999046,935,"Light and refreshing, Easy Street Wheat is an unfiltered American-style wheat beer. Leaving in the yeast gives the beer a nice, smooth finish and a slightly citrusy flavor. Easy Street Wheat gets its name by brewers "taking it easy" and not filtering the beer. However, for ultimate enjoyment, we encourage you to work just a little harder in pouring it: just pour 2/3 of the beer into a glass, swirl what's left to stir up the yeast, then pour the rest and enjoy.",1
337,"American-Style Pale Ale","Boulevard Pale Ale",5.4000000954,161,"Boulevard Pale Ale is a smooth, fruity, well-balanced beer with year-round appeal. A variety of caramel malts impart a rich flavor and amber color, while liberal use of whole hops adds zest and aroma. Pale Ale is the first beer we brewed, and continues to be a perennial favorite.",1
338,Porter,"Bully! Porter",5.4000000954,161,"The intense flavors of dark-roasted malt in Boulevardâ€™s rendition of the classic English porter are perfectly balanced by a generous and complex hop character. Bully! Porterâ€™s robust nature makes it the ideal companion to a variety of foods, from seafood to chocolate.",1
345,"American-Style Stout","Boulevard Dry Stout",4.9000000954,161,"Velvety black and perfectly opaque, our bottled Dry Stout is the somewhat livelier companion to our popular draught version of this enduring style. This surprisingly smooth, drinkable beer is a delightful harmony of smoky roasted flavors and tangy, coffee-like notes.",1
346,Porter,"Planet Porter / Boulder Porter",5.5,160,,1
350,"Belgian-Style Pale Strong Ale",Arabier,9,272,"An arabier is a pure malt beer 8Â°vol/alc brewed with flower Nugget-hops from Poperinge. It has the special dry-hopping taste and aroma, so appreciated by beer lovers all over the world. It is one of the two main beers from De Dolle Brouwers throughout the year. Aging time is limited due to the fact that hop bitterness is declining with the time. Store arabier cool and dark and serve cool at 10Â°C. Cheers!",1
351,"Belgian-Style Pale Strong Ale","Bos Keun",8.8999996185,272,,1
359,"Other Belgian-Style Ales","Delirium NoÃ«l",10,285,,1
360,"Belgian-Style Quadrupel","Rochefort 10",11.300000191,7,"Reddish-brown colour, with a very compact head and an aroma of figs, feels like honey in the mouth. The alcohol profile is a major component in the flavour of this rich ale. It is very similar to 6 and 8, but has much more of everything. Some may find the high alcohol content to be disagreeable.",1
361,"Dark American-Belgo-Style Ale",McChouffe,8.5,167,"Description : Dark Ale, strong, spicy, lightly hoppy, with evoluting taste. Natural Beer, bottle refermented, unfiltered, not pasteurised and without any additives


Alcohol : 8,5% alc./vol.


Original gravity : 16 Â°Plato


Storage : Store the bottles vertically in a cold place, sheltered from light. The yeast deposit can either be drunk or left according to taste


Serve at : 8 to 12Â°C (botlle)",1
362,"American-Style India Pale Ale","471 Double IPA",9.1999998093,236,,1
363,"Belgian-Style Pale Strong Ale","La Chouffe Golden Ale",8,167,,1
369,Porter,"Old Growler",6.5,903,,1
370,"Traditional German-Style Bock","Urthel Vlaemse Bock",7.5,431,,1
371,"Belgian-Style Tripel","Watou Tripel",7.5,296,"The flavour of this beer is pleasantly soft and is characterized by a delicate bitterness where the balance between malt and hop is based upon a fruity orange taste with a straight fresh after taste (7.5% alcohol content)",1
374,"American-Style Stout","Imperial Stout",7.0999999046,935,,1
375,"Traditional German-Style Bock","EKU 28",11,757,,1
376,"Traditional German-Style Bock",Eisbock,9.1999998093,757,,1
377,"German-Style Doppelbock","Doppelbock Dunkel",8.5,1115,"DoppelBock Dunkel has a pleasant full and creamy body, with a cofeeish aroma. Nicely warming with toffeelike malty sweetness, balanced by a hoppy-bitterness in the finish.",1
378,"Old Ale","Special London Ale",6.4000000954,1385,,1
379,"American-Style Stout","Oatmeal Stout",5.1999998093,1385,,1
385,"American-Style Stout","Cerveza Negra",6.5,363,,1
386,"American-Style Lager","Cerveza Diablo",7.5,363,,1
387,"German-Style Oktoberfest","Cerveza Roja",6,363,,1
393,"American-Style Pale Ale","Ripon Jewel Ale",5.8000001907,425,,1
395,"French & Belgian-Style Saison","Bam BiÃ¨re",4.5,723,"An artisan farmhouse ale that is golden, naturally cloudy, bottle conditioned and dry hopped for a perfectly refreshing balance of spicy malts, hops and yeast.",1
396,"Traditional German-Style Bock","Samichlaus Bier 2005",14,1115,,1
397,"American-Style Barley Wine Ale",Barleywine,10,609,"Our American-style Barleywine undergoes a three hour boil to intensify the caramel malts and the enormous Pacific Northwest hop charge. The result is a rich, estery brew with toffee notes and citrus hop flavors layered throughout. Enjoy this brew fresh today or lay it down for aging to see how the flavors of each vintage evolve.",1
399,"Traditional German-Style Bock","Aventinus Weizen-Eisbock",12,1023,,1
400,"South German-Style Weizenbock","Aventinus Weizenstarkbier / Doppel Weizen Bock",8.1999998093,1023,"Dark-ruby, almost black-colored and streaked with fine top-fermenting yeast, this beer has a compact and persistent head. This is a very intense wheat doppelbock with a complex spicy chocolate-like arome with a hint of banana and raisins. On the palate, you experience a soft touch and on the tongue it is very rich and complex, though fresh with a hint of caramel. It finishes in a rich soft and lightly bitter impression.",1
401,"Belgian-Style Tripel","New Belgium Trippel Belgian Style Ale",8.5,905,"Our Trippel Belgian Style Ale (pronounced triple) opens with a bold blast of hops that slowly gives way to the fruity esters implied by our Belgian yeast strain. The Three Graces hand-painted on the label are Zeusâ€™s daughters Aglaia (splendor), Euphrosyne (mirth) and Thalia (good cheer). In the Belgian tradition of brewing singles, doubles and triples, Trippel is the strongest with the longest fermentation. Remarkably smooth and complex, our bottle-conditioned Trippel is spiced with a trace of coriander.",1
403,"Belgian-Style Dubbel","Abbey Belgian Style Ale",7,905,"Winner of four World Beer Cup medals and eight medals at the Great American Beer Fest, Abbey Belgian Ale is the Mark Spitz of New Belgiumâ€™s lineup - but it didnâ€™t start out that way. When Jeff and Kim first sampled the beer at the Lyons Folks Fest, reviews were mixed at best. One of founder Jeffâ€™s first two Belgian style homebrews (along with Fat Tire), Abbey is a Belgian dubbel (or double) brewed with six different malts and an authentic Belgian yeast strain. Abbey is bottle-conditioned, weighs in at 7.0% alcohol by volume, and pairs well with chocolate (or boldly served by itself) for dessert.",1
404,"American-Style Pale Ale","India Pale Ale",6.8000001907,1142,,1
407,"American-Style Lager",Demolition,8,586,,1
408,"Belgian-Style Pale Strong Ale","Oro de Calabaza",8,723,"Brewed in the Franco-Belgian tradition of strong golden ales.  Spicy and peppery with a gentle hop bouquet and the beguiling influence of wild yeast.",1
409,"American-Style Amber/Red Ale","La Roja",7.1999998093,723,"An artisan amber ale brewed in the Flanders tradition.  Deep amber with earthy caramel, spice, and sour fruit notes developed through natural barrel aging.  Unfiltered, unpasteurized and blended from barrels ranging in age from two to ten months.",1
411,"American-Style Pale Ale","Hop Trip Fresh Hop Pale Ale",5.5,441,"This Fresh Hop Pale Ale is all about celebrating the hop harvest in the fall.  Fresh picked hops have to be added to the brew immediately and in abundance.  Roughly 270 pounds of Crystal hops from Doug Weathers' farm outside Salem, Oregon will be added to the 50 barrel batch in addition to some dry kilned whole flower hops.  That adds up to approximately 5.5 pounds of hops per barrel brewed.  Another deliciously interesting beer in our Bond Street Series.",1
414,"Old Ale","Hibernation Ale",8.1000003815,604,"Great Divideâ€™s award-winning Hibernation Ale is Coloradoâ€™s original strong ale â€“ it has been our winter seasonal each year since 1995. Since that time, Hibernation has become the most sought-after winter beer in Colorado. Hibernationâ€™s massive flavors are so intense that it requires over three months of aging each year. Each summer, while our brewers are still spending their weekends in flip-flops and shorts, they prepare for Julyâ€™s Hibernation brewing schedule.


We cellar Hibernation until late October, when it reaches the peak of perfection. This lengthy aging process gives Hibernation its revered malty richness, complex hop profile and hearty warming character, which is perfect right out of the bottle or cellared for longer periods of time. Hibernation is a lively treat that really beats the winter chill. This scrumptious, collectible, and imminently cellarable ale is only available for six weeks each year, from November 1 to December 15.  Hibernation Ale is the perfect gift or accompaniment to your winter festivities.",1
416,"Extra Special Bitter","2Â° Below",6.5999999046,905,"Pull on your wool socks and crack open a 2Â° Below Ale. This tasty winter warmer started life as a small batch beer brewed for the Al Johnson Uphill Downhill â€“ a telemark ski race in Crested Butte, Colorado. The Uphill Downhill celebrates the exploits of Al Johnson, letter carrier extraordinaire, who delivered mail by ski in the late 1800â€™s. Dry hopping during fermentation creates a floral nose with a hint of pepper and spicy, subtle undertones. 2Â° Below provides a bright, hoppy palate and a cheery warm afterglow.",1
417,Porter,"Monkey Wrench Dark Ale",5.3000001907,425,,1
419,"American-Style India Pale Ale","Hercules Double IPA",9.1000003815,604,"Hoppier, maltier and with more alcohol than a standard IPA, Hercules Double IPA definitely is not for the faint of heart. Hercules Double IPA is, however, an elixir fit for the gods. A brash but creamy wonder, Hercules pours a deep orange-coppery color, forming substantial lace in the glass. Hercules Double IPA delivers a huge amount of piney, floral, and citrusy hop aroma and flavor from start to finish. A hefty backbone of nutty, toffee-like malt character balances Herculesâ€™ aggressive, punchy hop profile.",1
420,"American-Style Pale Ale","Fresh Hop Pale Ale",6.0999999046,604,"The September hop harvest is a once-a-year opportunity to brew with fresh hops, also called â€œwet hops.â€ Given the perishable nature of just-harvested hop cones, they are shipped overnight to Great Divide shortly after harvest. The morning of the scheduled hop delivery in Denver, Great Divideâ€™s brewers begin brewing Fresh Hop and are ready to hop the beer just as the fresh hops are delivered.


Using fresh hops is a big endeavor, requiring four to five times the volume of hops compared to the usual process of using pelletized hops. This complex process brings impressive results: Fresh Hop is an American-Style Pale Ale with moderate hop bitterness marked by a unique and intensely grassy hop flavor and aroma. Fresh Hop is a superbly refreshing, medium bodied, light-copper colored pale ale.",1
421,"American-Style Pale Ale","Twisted Thistle India Pale Ale",6.0999999046,98,,1
